RR##,Target Name,RA (hms),Dec (dms),SpitRA (deg),Spitdec (deg),SpitRA_err,Spitdec_err,GaiaID,GaiaRA (deg),GaiaRA_err (mas),Gaiadec (deg),Gaiadec_err (mas),prlx (mas),prlx_err (mas),pmra (mas/yr),pmra_err (mas/yr),pmdec (mas/yr),pmdec_err (mas/yr),varflag,Period (d),Distance (kpc drake),A_v
01,CSS_J012715_7103153,01:27:16,-10:31:54,21.8167,-10.5317,0.0021,0.00014,Gaia DR2 2458797961539729280,21.815664,0.160784,-10.531724,0.101377,-0.140398,0.182934,-0.641374,0.377177,-2.180101,0.171946,VARIABLE,0.483930,30.12,0.064
02,CSS_J015331_3003419,01:53:31,-0:34:19,28.3792,-0.5719,0.0021,0.00014,Gaia DR2 2506169153007239040,28.380401,0.117101,-0.571816,0.097033,0.215838,0.130697,-0.668846,0.243209,-2.670994,0.220526,VARIABLE,0.602278,24.48,0.064
03,CSS_J015723_8003155,01:57:24,0:31:56,29.3500,0.5322,0.0021,0.00014,Gaia DR2 2507882119108809216,29.349648,0.140568,0.532063,0.102667,0.277192,0.154826,-0.108571,0.293736,-2.212659,0.204258,VARIABLE,0.555259,28.57,0.051
04,CSS_J020339_1005729,02:03:39,0:57:30,30.9125,0.9583,0.0021,0.00014,Gaia DR2 2508075220838550016,30.913193,0.128358,0.958235,0.094621,0.358408,0.149655,-0.351018,0.219716,-3.336855,0.170758,NOT_AVAILABLE,0.557697,22.26,0.043
05,CSS_J020548_4000144,02:05:48,0:01:45,31.4500,0.0292,0.0021,0.00014,Gaia DR2 2507183658642280064,31.451868,0.173035,0.028986,0.164229,0.240024,0.207882,-0.436171,0.422180,-1.470478,0.385207,VARIABLE,0.552128,29.79,0.05
06,CSS_J020642_1005919,02:06:42,0:59:20,31.6750,0.9889,0.0021,0.00014,Gaia DR2 2508110199051913216,31.675839,0.131074,0.988733,0.123665,0.194891,0.154379,-0.250832,0.284218,-2.134442,0.256969,VARIABLE,0.594098,28.14,0.049
07,CSS_J020940_6000213,02:09:41,-0:2:13,32.4208,-0.0369,0.0021,0.00014,Gaia DR2 2507049548288173056,32.419325,0.090148,-0.036829,0.067628,0.231701,0.102779,-0.674106,0.169059,-3.280148,0.131296,VARIABLE,0.676669,18.85,0.05
08,CSS_J021112_5000912,02:11:13,0:09:12,32.8042,0.1533,0.0021,0.00014,Gaia DR2 2507056763833489792,32.802190,0.101623,0.153335,0.086062,0.085827,0.111245,-0.964876,0.214324,-2.769492,0.164532,VARIABLE,0.639310,21.32,0.056
09,CSS_J022309_0005734,02:23:09,0:57:34,35.7875,0.9594,0.0021,0.00014,Gaia DR2 2501495880696267264,35.787755,0.114445,0.959478,0.108191,0.122708,0.142830,-0.010028,0.236732,-1.924254,0.211394,VARIABLE,0.630065,27.23,0.066
10,CSS_J022523_4003938,02:25:23,0:39:38,36.3458,0.6606,0.0021,0.00014,Gaia DR2 2501273607549180928,36.347704,0.147315,0.660505,0.158052,-0.093069,0.194729,0.130018,0.348699,-2.418429,0.323333,VARIABLE,0.493118,26.8,0.077
11,CSS_J022909_8010419,02:29:10,1:04:19,37.2917,1.0719,0.0021,0.00014,Gaia DR2 2501360507622650880,37.291155,0.079267,1.071915,0.067730,0.046616,0.090663,1.407291,0.143788,-1.726157,0.134697,NOT_AVAILABLE,0.485874,17.68,0.05
12,CSS_J023635_4003005,02:36:35,0:30:05,39.1458,0.5014,0.0021,0.00014,Gaia DR2 2501829926073047552,39.147642,0.148232,0.501365,0.135496,0.110325,0.173036,-0.018997,0.367409,-2.334015,0.316399,VARIABLE,0.533635,31.31,0.056
13,CSS_J025407_8082842,02:54:08,-8:28:42,43.5333,-8.4783,0.0021,0.00014,Gaia DR2 5173509045445376000,43.532539,0.131061,-8.478158,0.144696,0.080721,0.152470,0.694025,0.293646,-1.918394,0.312078,VARIABLE,0.464781,30.43,0.091
14,CSS_J025717_4004707,02:57:17,0:47:07,44.3208,0.7853,0.0021,0.00014,Gaia DR2 288243845193088,44.322907,0.218452,0.785228,0.193364,-0.045209,0.285359,0.449440,0.420931,-1.940657,0.344875,VARIABLE,0.554529,34.26,0.14
15,CSS_J025722_3080850,02:57:22,-8:8:51,44.3417,-8.1475,0.0021,0.00014,Gaia DR2 5179534163007072000,44.343235,0.084700,-8.147519,0.077774,0.089193,0.093452,1.837303,0.182912,-2.495217,0.166976,VARIABLE,0.512756,19.53,0.107
16,CSS_J032637_6051844,03:26:38,5:18:44,51.6583,5.3122,0.0021,0.00014,Gaia DR2 3275743347314372352,51.656772,0.065544,5.312323,0.055445,0.061716,0.069923,2.674442,0.155900,-1.962907,0.124788,VARIABLE,0.602133,13.66,0.269
17,CSS_J034611_4104155,03:46:11,10:41:56,56.5458,10.6989,0.0021,0.00014,Gaia DR2 36246122364621440,56.547903,0.265595,10.698753,0.189847,-0.639034,0.300989,0.525897,0.669547,-1.956571,0.462532,VARIABLE,0.542593,30.47,0.547
18,CSS_J034725_9093059,03:47:26,9:30:59,56.8583,9.5164,0.0021,0.00014,Gaia DR2 3302625788138190720,56.857953,0.279147,9.516415,0.164973,-0.077379,0.346472,-1.681397,0.818770,-0.579150,0.485332,VARIABLE,0.571077,35.79,0.405
19,CSS_J035400_4002110,03:54:00,0:21:11,58.5000,0.3531,0.0021,0.00014,Gaia DR2 3257491252431473536,58.502073,0.220112,0.352821,0.156045,0.074517,0.277348,0.393359,0.512946,-2.312658,0.398257,VARIABLE,0.589903,26.77,0.723
20,CSS_J035435_6112427,03:54:36,11:24:27,58.6500,11.4075,0.0021,0.00014,Gaia DR2 3303340578072257792,58.648523,0.256189,11.407410,0.151716,-0.354082,0.286828,-0.114078,0.576742,-1.773817,0.400699,VARIABLE,0.604016,34.56,0.414
21,CSS_J081152_8155839,08:11:53,15:58:40,122.9708,15.9778,0.0021,0.00014,Gaia DR2 655680775540592896,122.970341,0.055682,15.977635,0.032323,-0.011429,0.061372,-1.649336,0.112961,-3.559161,0.076175,VARIABLE,0.556308,12.58,0.081
22,CSS_J082010_1264308,08:20:10,26:43:08,125.0417,26.7189,0.0021,0.00014,Gaia DR2 682968523837145856,125.042335,0.071080,26.718860,0.051158,0.004509,0.089208,1.325139,0.138497,-3.212732,0.100003,VARIABLE,0.457601,14.16,0.05
23,CSS_J082926_0213239,08:29:26,21:32:40,127.3583,21.5444,0.0021,0.00014,Gaia DR2 665691416594099200,127.358535,0.126863,21.544244,0.075709,0.304085,0.189883,1.122968,0.264528,-3.106263,0.165435,VARIABLE,0.655554,23.02,0.075
24,CSS_J083325_0212351,08:33:25,21:23:51,128.3542,21.3975,0.0021,0.00014,Gaia DR2 665456808300627584,128.354318,0.089933,21.397497,0.059655,-0.050510,0.115958,-1.757051,0.187759,-2.571062,0.135943,VARIABLE,0.563814,20.24,0.073
25,CSS_J083827_9135258,08:38:28,13:52:58,129.6167,13.8828,0.0021,0.00014,Gaia DR2 603398516602484480,129.616434,0.096667,13.883046,0.054776,0.046546,0.125145,-2.012194,0.187167,-2.162348,0.106386,VARIABLE,0.496460,20.19,0.085
26,CSS_J084734_2310324,08:47:34,31:03:24,131.8917,31.0567,0.0021,0.00014,Gaia DR2 706631285377114752,131.892695,0.038858,31.056677,0.025917,-0.042750,0.046628,-0.327512,0.070111,-5.202022,0.052477,VARIABLE,0.623008,9.97,0.076
27,CSS_J085229_5374534,08:52:30,37:45:34,133.1250,37.7594,0.0021,0.00014,Gaia DR2 719526357748159360,133.123276,0.122060,37.759507,0.077972,0.300892,0.149376,-0.076598,0.202924,-3.082263,0.171235,VARIABLE,0.550745,19.42,0.069
28,CSS_J085747_6365439,08:57:48,36:54:39,134.4500,36.9108,0.0021,0.00014,Gaia DR2 718622554893461248,134.448661,0.054179,36.910774,0.043171,0.057682,0.082699,-3.557191,0.107866,-3.789528,0.082801,VARIABLE,0.640043,15.08,0.065
29,CSS_J090003_7295710,09:00:04,29:57:10,135.0167,29.9528,0.0021,0.00014,Gaia DR2 693554003315091968,135.015723,0.047135,29.952777,0.036865,0.088680,0.066719,0.937931,0.092908,-3.351581,0.072335,VARIABLE,0.583169,12.26,0.05
